CEL2021P,412.06048839034344,1.11999,414.79575008860417,6.604099176554274e-05
ED-523T,397.3323682636708,1.03686,408.71108594098996,0.00010233336764405219
EP-4088S,224.7344711333929,1.06848,441.1633475449719,9.078701943333577e-05
EX-121,313.0640979968014,0.890814,336.2896655801497,0.0001406883366967259
EX-252,336.30983517407657,1.10811,354.9891816993544,7.247538131559761e-05
EX141,357.6207946428545,1.11546,378.4234093754071,9.511413181570074e-05
OXT-221,220.41509221707798,0.991253,318.081578550012,6.539957624604879e-05
TCM104,355.2623983824016,1.0113,392.81562927132217,0.00011568009826291758
U1750,361.79628294280326,1.13708,388.31876056292884,8.02699708664418e-05
XY630,334.4620641586661,1.05053,354.59424012002717,9.3907340381734e-05
XY633,-289.8491553107069,1.13988,336.6754273569052,5.316335126511088e-05
