Mody lammps parameter 2023-02-23 22:40:23.963323

	71 atoms
	8 atom types
	26 angle types
	12 bond types
	37 dihedral types
	22 improper types

	72 bonds
	137 angles
	177 dihedrals
	85 impropers

	0.0 41.63302961 xlo xhi
	0.0 41.63302961 ylo yhi
	0.0 41.63302961 zlo zhi

Masses

1	12.01115	#	C
2	12.01115	#	C
3	1.00797	#	H
4	1.00797	#	H
5	15.99940	#	O
6	15.99940	#	O
7	15.99940	#	O
8	12.01115	#	C


Atoms

1	1	1	-0.1590	36.3939279365	0.8117485486	10.7880260146	#	c
2	1	4	0.0530	35.8138651213	1.0430467004	9.8920784261	#	hc
3	1	4	0.0530	37.4074793423	0.6449900653	10.3239022732	#	hc
4	1	4	0.0530	36.4112974120	1.7145578027	11.4315230121	#	hc
5	1	1	0.0000	35.8676225672	-0.3810203867	11.6460550159	#	c
6	1	1	0.0270	35.5937847811	-1.7505941261	10.7946642101	#	c
7	1	4	0.0530	35.0953422030	-2.3386221236	11.5427844863	#	hc
8	1	4	0.0530	34.8055428434	-1.5277558439	9.9841863544	#	hc
9	1	6	-0.2660	36.8142216380	-2.2490720639	10.2104474060	#	oc
10	1	1	0.0270	37.0881759412	-3.6922200658	10.2841329403	#	c
11	1	4	0.0530	36.3597427799	-4.1747590679	9.5946237390	#	hc
12	1	4	0.0530	38.1016943933	-3.8661280454	9.8269525839	#	hc
13	1	8	0.0800	36.8192736693	-4.4498436119	11.6548257733	#	c1
14	1	4	0.0530	37.0242601750	-3.7093238494	12.4125453323	#	hc
15	1	1	0.0270	37.6272789710	-5.7541643784	11.9661832459	#	c
16	1	4	0.0530	36.9113305991	-6.5748412373	12.3206262359	#	hc
17	1	4	0.0530	38.3175101236	-5.5303811144	12.8154544883	#	hc
18	1	7	-0.5571	38.4664819792	-6.2021745332	10.8629608044	#	oh
19	1	3	0.4241	37.9391449707	-6.6880896760	10.2479322813	#	h
20	1	6	-0.2660	35.4175722146	-4.6311843308	11.9336746152	#	oc
21	1	1	0.0270	34.4904725926	-5.6386034094	11.6242820737	#	c
22	1	4	0.0530	34.8841348488	-6.4326640637	10.9321332195	#	hc
23	1	4	0.0530	34.2489414172	-6.1490700020	12.5593319766	#	hc
24	1	1	-0.159	33.1385211234	-5.0237853440	11.0719317255	#	c
25	1	4	0.0530	32.3362796184	-5.7677776845	11.1849240441	#	hc
26	1	1	0.0270	33.1885013494	-4.5637568239	9.6031443138	#	c
27	1	4	0.0530	34.0134867464	-3.8438332055	9.3501851090	#	hc
28	1	4	0.0530	33.4178701421	-5.4039299918	8.9235913269	#	hc
29	1	6	-0.2660	31.8752931968	-4.1238733297	9.2442808938	#	oc
30	1	1	0.0270	31.7047619826	-3.7631483155	7.8874348912	#	c
31	1	4	0.0530	32.5068360623	-3.0874327529	7.5393553185	#	hc
32	1	4	0.0530	30.7809645550	-3.1414317335	7.9369676354	#	hc
33	1	1	0.0000	31.4842675793	-4.8673818694	6.8465804249	#	c
34	1	1	-0.1590	30.6032910166	-4.3280901270	5.7027895057	#	c
35	1	4	0.0530	30.7231050988	-4.8298942665	4.7046418710	#	hc
36	1	4	0.0530	30.6798080668	-3.2530720663	5.4356973343	#	hc
37	1	4	0.0530	29.5103361821	-4.3493272893	5.8640756665	#	hc
38	1	1	0.0270	30.5770634786	-6.0688927503	7.3361750116	#	c
39	1	4	0.0530	29.6899020198	-5.5977045824	7.7344169700	#	hc
40	1	4	0.0530	30.3547354848	-6.7224388926	6.4153544150	#	hc
41	1	6	-0.2660	31.2390816572	-6.8358239035	8.3404505163	#	oc
42	1	1	0.0270	30.3308532987	-7.7263090046	9.0300773485	#	c
43	1	4	0.0530	29.3997193112	-7.2011567701	9.2237655296	#	hc
44	1	4	0.0530	30.1018367867	-8.5997345233	8.4071757562	#	hc
45	1	2	0.0800	31.0148368580	-8.1556775958	10.3935977525	#	c3h
46	1	4	0.0530	32.0047265575	-8.6108029321	10.2866059045	#	hc
47	1	5	-0.2660	30.1077367080	-8.9690574451	11.2986487706	#	o3e
48	1	1	0.0270	30.5349490366	-7.6467792006	11.7154361071	#	c
49	1	4	0.0530	31.1335977841	-7.6248523282	12.6010615307	#	hc
50	1	4	0.0530	29.7971871734	-6.8238082909	11.7338708635	#	hc
51	1	1	-0.1590	32.8320002298	-5.3274186774	6.0769926317	#	c
52	1	4	0.0530	32.7232714098	-6.1988257702	5.4328648395	#	hc
53	1	4	0.0530	33.2833845154	-4.5495196287	5.4851319650	#	hc
54	1	4	0.0530	33.6540100222	-5.4320238606	6.8114523595	#	hc
55	1	1	-0.1590	34.4066920254	0.0544572432	12.0755601383	#	c
56	1	4	0.0530	33.7410702167	0.2199826474	11.1897121605	#	hc
57	1	4	0.0530	33.8674052952	-0.8884044204	12.4903600670	#	hc
58	1	4	0.0530	34.2756711002	0.8602417929	12.7969851914	#	hc
59	1	1	0.0270	36.9060800993	-0.5862345710	12.7982517522	#	c
60	1	4	0.0530	36.5571729245	-1.3052944205	13.5847518344	#	hc
61	1	4	0.0530	37.1080787254	0.3621346228	13.3298161707	#	hc
62	1	6	-0.2660	38.1703852966	-0.8977922373	12.2513813777	#	oc
63	1	1	0.0270	39.1702282635	-1.2090720887	13.2139216687	#	c
64	1	4	0.0530	38.8103644890	-1.9959433675	13.8627054558	#	hc
65	1	4	0.0530	39.3195314999	-0.3771274847	13.8856308681	#	hc
66	1	2	0.0800	40.5362644940	-1.5191757392	12.6325100679	#	c3h
67	1	4	0.0530	40.7228648359	-0.8078790504	11.7681348647	#	hc
