LAMMPS output created by EMC v9.4.4, build Jul 27 2022 18:02:20

          65  atoms
          67  bonds
         114  angles
         156  dihedrals
          54  impropers

           7  atom types
          11  bond types
          19  angle types
          29  dihedral types
          15  improper types

             0    19.58721432  xlo xhi
             0    19.58721432  ylo yhi
             0    19.58721432  zlo zhi

Masses

       1   12.01115  # c
       2   12.01115  # c1
       3   12.01115  # cp
       4    1.00797  # h
       5    1.00797  # hc
       6   15.99940  # oc
       7   15.99940  # oh

Atoms

       1       1   7 -0.5571   2.3997659782  12.6535300880   9.9640153688  # oh
       2       1   4  0.4241   1.5718467286  12.1830747328  10.0816705046  # h
       3       1   1  0.0270   3.5321706351  11.8281884974  10.0416954675  # c
       4       1   5  0.0530   3.4089421393  11.2585386058  10.9462390534  # hc
       5       1   5  0.0530   3.4305385815  11.0536767584   9.2601325256  # hc
       6       1   2  0.0800   4.9539178760  12.4552152896   9.9056065602  # c1
       7       1   5  0.0530   5.5317434344  11.5202827711  10.1059810258  # hc
       8       1   6 -0.2660   5.2208416161  13.2512867664  11.0287046339  # oc
       9       1   1  0.0270   4.9899925043  14.7210075602  11.0214548613  # c
      10       1   5  0.0530   5.6090605414  15.2532059403  10.2884273882  # hc
      11       1   5  0.0530   3.9243775106  14.8202091039  10.9617157683  # hc
      12       1   2  0.0800   5.3906991587  15.2040113520  12.4475172392  # c1
      13       1   5  0.0530   6.4222324980  14.9885181619  12.6647676286  # hc
      14       1   6 -0.2660   5.2127944118  16.5746258508  12.3224367883  # oc
      15       1   1  0.0270   6.2402682046  17.3954014353  11.7962730398  # c
      16       1   5  0.0530   7.2024502299  17.0208312921  12.2167932517  # hc
      17       1   5  0.0530   6.3710784877  17.3878876608  10.6573255213  # hc
      18       1   1 -0.1060   5.8342481869  18.8415589278  12.2779171552  # c
      19       1   5  0.0530   6.3444305750  18.9964726131  13.1736755970  # hc
      20       1   5  0.0530   6.3290210880  19.5691602703  11.5669698544  # hc
      21       1   1  0.0270   4.3653412107  19.2027107471  12.6585376252  # c
      22       1   5  0.0530   3.5202871518  18.5006012445  12.2629931914  # hc
      23       1   5  0.0530   3.9731186168  20.0526580001  12.1037467259  # hc
      24       1   6 -0.1595   4.0382586108  19.3744927713  14.0524495751  # oc
      25       1   3  0.0265   4.4025363505  20.5526051836  14.6567946876  # cp
      26       1   3 -0.1268   5.1493413027  21.5793823490  14.0848853898  # cp
      27       1   5  0.1268   5.5786451745  21.5126184064  13.0713225941  # hc
      28       1   3 -0.1268   5.4093540899  22.7516073902  14.7977844635  # cp
      29       1   5  0.1268   6.0132824532  23.4631347623  14.2684417568  # hc
      30       1   3 -0.1268   5.0821797462  22.8238149449  16.1438187376  # cp
      31       1   5  0.1268   5.4468532965  23.7656331798  16.7005635389  # hc
      32       1   3 -0.1268   4.3672456275  21.7928947548  16.7726428174  # cp
      33       1   5  0.1268   3.9562906045  21.8203271744  17.7915853004  # hc
      34       1   3 -0.1268   4.0718165188  20.6952833546  16.0103156230  # cp
      35       1   5  0.1268   3.3989686607  19.9404410297  16.3540754475  # hc
      36       1   1  0.0270   4.5435144737  14.8113404426  13.6990793181  # c
      37       1   5  0.0530   4.3785410462  15.7048640746  14.3090299696  # hc
      38       1   5  0.0530   5.0082625515  14.0963064745  14.3511237989  # hc
      39       1   6 -0.1595   3.2163634322  14.4169954362  13.4245553508  # oc
      40       1   3  0.0265   2.9345489363  13.0505866738  13.4885196582  # cp
      41       1   3 -0.1268   3.8084385641  12.0089797143  13.9010659241  # cp
      42       1   5  0.1268   4.7762144616  12.2546236224  14.3334835668  # hc
      43       1   3 -0.1268   3.3675657531  10.6992118972  13.8617911026  # cp
      44       1   5  0.1268   4.0590650694   9.8499055755  14.1187257411  # hc
      45       1   3 -0.1268   2.1816290192  10.4132602607  13.1897500950  # cp
      46       1   5  0.1268   1.9008297672   9.3526104003  13.0253128246  # hc
      47       1   3 -0.1268   1.2811874402  11.3689032461  12.7575997760  # cp
      48       1   5  0.1268   0.3205236898  11.1992525353  12.2048882090  # hc
      49       1   3 -0.1268   1.7374518860  12.6630654470  12.9354247246  # cp
      50       1   5  0.1268   1.0118989139  13.4046399696  12.5474790655  # hc
      51       1   1  0.0270   5.2585449152  13.0000683815   8.5141382103  # c
      52       1   5  0.0530   5.3447271849  12.1966894608   7.8123416488  # hc
      53       1   5  0.0530   6.3021191880  13.3380900824   8.5692671377  # hc
      54       1   6 -0.1595   4.4772975400  14.1054495921   8.0499468259  # oc
      55       1   3  0.0265   3.2973327415  13.9329093059   7.3436661279  # cp
      56       1   3 -0.1268   2.8223919783  12.7402445946   6.8343079839  # cp
      57       1   5  0.1268   3.3850296865  11.6937353160   6.9792494178  # hc
      58       1   3 -0.1268   1.6393557417  12.7048109685   6.0149388454  # cp
      59       1   5  0.1268   1.2725366079  11.7317059965   5.5986382644  # hc
      60       1   3 -0.1268   0.9552201083  13.8581119392   5.7574373578  # cp
      61       1   5  0.1268  -0.0132798952  13.8947258114   5.2200751641  # hc
      62       1   3 -0.1268   1.4423709196  15.0768242193   6.1804105411  # cp
      63       1   5  0.1268   0.9383602148  16.1214495467   5.9077363235  # hc
      64       1   3 -0.1268   2.6027181860  15.0936540229   6.9863170437  # cp
      65       1   5  0.1268   2.9365029148  16.0982350223   7.2845112197  # hc

Bonds

       1       5       3       1  # c,oh
       2      11       2       1  # h,oh
       3       2       3       6  # c,c1
       4       3       3       4  # c,hc
       5       3       3       5  # c,hc
       6       2      51       6  # c,c1
       7       7       6       8  # c1,oc
       8       6       6       7  # c1,hc
       9       4       9       8  # c,oc
      10       2       9      12  # c,c1
      11       3       9      10  # c,hc
      12       3       9      11  # c,hc
      13       2      36      12  # c,c1
      14       7      12      14  # c1,oc
      15       6      12      13  # c1,hc
      16       4      15      14  # c,oc
      17       1      15      18  # c,c
      18       3      15      16  # c,hc
      19       3      15      17  # c,hc
      20       1      18      21  # c,c
      21       3      18      19  # c,hc
      22       3      18      20  # c,hc
      23       4      21      24  # c,oc
      24       3      21      22  # c,hc
      25       3      21      23  # c,hc
      26      10      25      24  # cp,oc
      27       8      25      26  # cp,cp
      28       8      25      34  # cp,cp
      29       8      26      28  # cp,cp
      30       9      26      27  # cp,hc
      31       8      28      30  # cp,cp
      32       9      28      29  # cp,hc
      33       8      30      32  # cp,cp
      34       9      30      31  # cp,hc
      35       8      32      34  # cp,cp
      36       9      32      33  # cp,hc
      37       9      34      35  # cp,hc
      38       4      36      39  # c,oc
      39       3      36      37  # c,hc
      40       3      36      38  # c,hc
      41      10      40      39  # cp,oc
      42       8      40      41  # cp,cp
      43       8      40      49  # cp,cp
      44       8      41      43  # cp,cp
      45       9      41      42  # cp,hc
      46       8      43      45  # cp,cp
      47       9      43      44  # cp,hc
      48       8      45      47  # cp,cp
      49       9      45      46  # cp,hc
      50       8      47      49  # cp,cp
      51       9      47      48  # cp,hc
      52       9      49      50  # cp,hc
      53       4      51      54  # c,oc
      54       3      51      52  # c,hc
      55       3      51      53  # c,hc
      56      10      55      54  # cp,oc
      57       8      55      56  # cp,cp
      58       8      55      64  # cp,cp
      59       8      56      58  # cp,cp
      60       9      56      57  # cp,hc
      61       8      58      60  # cp,cp
      62       9      58      59  # cp,hc
      63       8      60      62  # cp,cp
      64       9      60      61  # cp,hc
      65       8      62      64  # cp,cp
      66       9      62      63  # cp,hc
      67       9      64      65  # cp,hc

Angles

       1      12       6       3       1  # c1,c,oh
       2      18       4       3       1  # hc,c,oh
       3      18       5       3       1  # hc,c,oh
       4       9       3       1       2  # c,oh,h
       5       4       3       6      51  # c,c1,c
       6       6       3       6       8  # c,c1,oc
       7       5       3       6       7  # c,c1,hc
       8      10       6       3       4  # c1,c,hc
       9      16       4       3       5  # hc,c,hc
      10      10       6       3       5  # c1,c,hc
      11      11       6      51      54  # c1,c,oc
      12      10       6      51      52  # c1,c,hc
      13      10       6      51      53  # c1,c,hc
      14       7       9       8       6  # c,oc,c1
      15       5      51       6       7  # c,c1,hc
      16      19       7       6       8  # hc,c1,oc
      17       6      51       6       8  # c,c1,oc
      18      11      12       9       8  # c1,c,oc
      19      17      10       9       8  # hc,c,oc
      20      17      11       9       8  # hc,c,oc
      21       4       9      12      36  # c,c1,c
      22       6       9      12      14  # c,c1,oc
      23       5       9      12      13  # c,c1,hc
      24      10      12       9      10  # c1,c,hc
      25      16      10       9      11  # hc,c,hc
      26      10      12       9      11  # c1,c,hc
      27      11      12      36      39  # c1,c,oc
      28      10      12      36      37  # c1,c,hc
      29      10      12      36      38  # c1,c,hc
      30       7      15      14      12  # c,oc,c1
      31       5      36      12      13  # c,c1,hc
      32      19      13      12      14  # hc,c1,oc
      33       6      36      12      14  # c,c1,oc
      34       3      18      15      14  # c,c,oc
      35      17      16      15      14  # hc,c,oc
      36      17      17      15      14  # hc,c,oc
      37       1      15      18      21  # c,c,c
      38       2      15      18      19  # c,c,hc
      39       2      15      18      20  # c,c,hc
      40       2      18      15      16  # c,c,hc
      41      16      16      15      17  # hc,c,hc
      42       2      18      15      17  # c,c,hc
      43       3      18      21      24  # c,c,oc
      44       2      18      21      22  # c,c,hc
      45       2      18      21      23  # c,c,hc
      46       2      21      18      19  # c,c,hc
      47      16      19      18      20  # hc,c,hc
      48       2      21      18      20  # c,c,hc
      49       8      21      24      25  # c,oc,cp
      50      17      22      21      24  # hc,c,oc
      51      16      22      21      23  # hc,c,hc
      52      17      23      21      24  # hc,c,oc
      53      15      26      25      24  # cp,cp,oc
      54      15      34      25      24  # cp,cp,oc
      55      13      25      26      28  # cp,cp,cp
      56      14      25      26      27  # cp,cp,hc
      57      13      25      34      32  # cp,cp,cp
      58      14      25      34      35  # cp,cp,hc
      59      13      26      25      34  # cp,cp,cp
      60      13      26      28      30  # cp,cp,cp
      61      14      26      28      29  # cp,cp,hc
      62      14      28      26      27  # cp,cp,hc
      63      13      28      30      32  # cp,cp,cp
      64      14      28      30      31  # cp,cp,hc
      65      14      30      28      29  # cp,cp,hc
      66      13      30      32      34  # cp,cp,cp
      67      14      30      32      33  # cp,cp,hc
      68      14      32      30      31  # cp,cp,hc
      69      14      32      34      35  # cp,cp,hc
      70      14      34      32      33  # cp,cp,hc
      71       8      36      39      40  # c,oc,cp
      72      17      37      36      39  # hc,c,oc
      73      16      37      36      38  # hc,c,hc
      74      17      38      36      39  # hc,c,oc
      75      15      41      40      39  # cp,cp,oc
      76      15      49      40      39  # cp,cp,oc
      77      13      40      41      43  # cp,cp,cp
      78      14      40      41      42  # cp,cp,hc
      79      13      40      49      47  # cp,cp,cp
      80      14      40      49      50  # cp,cp,hc
